! python3 -m src.scripts.train_neural_hmm --states 12 --epochs 30 --context 4 --batch_size 32 --lr 1e-3 --dropout 0.3

Dev accuracy (Neural-HMM, K=12): 0.773

Confusion Matrix (Dev set):
true\pred    ca    da    de    en    es    fi    fr    is    it    nl    nr    pt    ro    sv
ca           1     0     0     0     4     0     6     0     1     5     0     6     0     0
da           0   246     0     1     0     0     3     0     0     6    45     0     0    11
de           0     0    23     3     0     0     0     0     0    29     0     0     0     1
en           0     0     0   398     1     0     9     0     0    87     1     1     0     7
es           0     0     0     4   442     0    13     0     0     3     0     5     0     0
fi           0     2     0     1     0    85     0     0     0    12     1     0     0   116
fr           0     0     0     1     3     0   536     0     0     4     0     0     1     1
is           0     0     0     0     0     0     0    17     0     0     0     0     0     0
it           0     1     0     2    11     0    45     0    10    12     1    10     1    12
nl           0     3     0    10     1     0     7     0     0   331     1     0     0     6
nr           0   141     0     9     0     0     1     0     0    12   125     0     0    17
pt           0     0     0     1    56     0    57     0     0    15     1   143     0     6
ro           0     0     0     0     1     0     1     0     0     0     0     0   132     1
sv           0     1     0     0     0     0     2     0     0     0     1     0     0   374

True  Pred        ca       da       de       en       es       fi       fr       is       it       nl       nr       pt       ro       sv  Sentence
------------------------------------------------------------------------------------------------------------------------
ca   es       -6.8    -18.5    -19.8    -16.5     -0.1    -23.6    -14.0    -22.5    -18.0    -16.2    -17.9     -0.5    -20.1    -19.5  La família sopa a la casa petita.
ca   en       -6.4     -0.2     -2.0     -0.0     -0.1     -4.7     -0.1    -25.5     -0.7     -0.9     -0.7     -0.1     -0.6     -0.2  Els nens juguen al parc verd.
ca   pt       -7.3    -29.7    -24.8    -31.1     -1.6    -30.9    -13.2    -55.0     -2.1     -0.6    -23.4     -0.1    -20.4    -17.3  El tren arriba a l'estació central.
ca   es       -5.9    -30.4    -17.2    -13.2     -0.0    -32.6    -12.2    -35.6    -12.9    -16.3    -17.5     -0.2    -28.1    -19.8  Aquest matí plou a la ciutat.
ca   pt       -6.8    -11.6    -12.7     -1.1     -0.1    -13.1     -0.1    -24.8     -0.7     -1.0     -0.9     -0.0     -6.8     -0.3  El museu és a prop del riu.
ca   fr       -6.4    -17.4     -1.5    -20.6     -1.5    -12.3     -0.0    -38.0     -0.2     -0.4    -19.1     -0.1     -0.5     -0.1  Ella treballa a l'hospital local.
ca   fr       -7.1    -12.0    -10.7     -7.2     -7.7    -30.9     -0.1    -47.9     -0.1     -0.4     -4.8     -0.2     -3.0     -2.4  Ens vam trobar amb amics al cafè.
ca   es       -7.2     -0.4     -1.2     -0.1     -0.1    -11.9     -0.2    -26.2     -0.1     -0.8     -0.6     -0.1     -0.1     -0.4  El restaurant tanca a les nou.
da   en       -9.4     -0.0     -0.7     -0.0     -0.0     -0.2     -0.0    -13.3     -0.1     -0.0     -0.1     -0.0     -0.3     -0.1  Familien spiser aftensmad i det lille hus.
da   nr      -43.4     -0.1    -23.9    -30.4    -39.4    -23.8    -29.4    -39.9    -33.5    -25.6     -0.1    -28.6    -34.5    -29.9  Børnene leger i den grønne park.
da   sv      -41.4    -19.0    -24.0    -17.3    -31.0    -22.0    -16.3    -28.4    -25.2    -18.4    -17.9    -19.3    -33.9     -0.0  Toget ankommer til hovedbanegården.
da   fr       -7.9     -0.0     -3.6     -0.1     -0.1     -2.1     -0.0    -10.4     -5.5     -0.0     -0.1     -0.3     -4.9     -0.1  Det regner i byen her til morgen.
da   sv      -33.7    -11.6    -32.1    -23.5    -17.3    -20.5    -22.3    -25.6    -23.2    -21.0    -12.3    -22.4    -21.3     -3.6  Museet ligger tæt på floden.
da   sv      -39.1     -8.0    -18.8     -9.1    -28.7     -9.7     -8.1    -24.2    -20.8    -11.4    -11.1    -12.0    -23.1     -0.1  Hun arbejder på det lokale hospital.
da   nr      -36.2    -25.4    -46.6    -31.2    -21.4    -33.0    -23.9    -57.8    -26.9    -24.7    -10.8    -28.0    -37.1    -17.3  Vi mødte venner på caféen.
da   en      -60.7     -0.1     -0.3     -0.0    -62.5     -0.1     -0.4     -9.2    -22.9     -0.0     -0.1     -0.6    -29.0     -0.1  Restauranten lukker klokken ni.
de   da      -23.5     -0.0     -0.2     -0.1    -15.1     -1.1     -0.2    -18.6     -8.0     -0.0     -0.0     -0.8     -7.3     -0.1  Die Familie isst Abendessen im kleinen Haus.
de   nl      -24.0     -1.7     -0.9    -17.9    -16.9    -13.5     -4.5    -31.7    -18.5     -0.2     -8.9    -18.5    -24.4    -17.2  Die Kinder spielen im grünen Park.
de   da      -22.8     -0.1     -3.1     -0.7    -13.3     -4.8     -0.3    -11.3     -4.1     -0.1     -0.2     -1.3     -7.4     -0.2  Der Zug kommt am Hauptbahnhof an.
de   es       -7.5     -0.0     -0.4     -0.0     -0.0     -0.9     -0.0    -12.5     -0.2     -0.0     -0.0     -0.0     -0.0     -0.0  Heute Morgen regnet es in der Stadt.
de   en       -8.2     -0.3     -0.3     -0.1     -0.1     -1.0     -0.2    -20.0     -0.4     -0.2     -0.7     -0.2     -0.6     -0.3  Das Museum liegt nahe am Fluss.
de   sv      -39.7    -12.6     -0.6    -11.7    -32.3    -17.3    -13.6    -30.4    -26.2     -0.7     -3.9    -14.7    -23.4     -0.0  Sie arbeitet im örtlichen Krankenhaus.
de   sv       -7.7    -11.6     -8.4     -2.1     -0.4     -9.0     -0.2    -19.7     -0.8     -0.3     -0.4     -0.4     -4.5     -0.1  Wir trafen Freunde im Café.
de   de      -25.9    -20.0     -0.5    -18.5    -20.8    -32.3    -19.6    -46.3    -22.4    -17.8    -19.2    -22.7    -21.4    -19.1  Das Restaurant schließt um neun Uhr.
en   da       -7.4     -0.0     -2.0     -0.0     -0.0     -0.1     -0.0    -14.2     -3.8     -0.0     -0.0     -0.3     -5.2     -0.0  The family eats dinner in the small house.
en   en      -17.5     -0.1     -3.6     -0.0    -12.3    -12.3     -0.1    -31.4    -12.6     -0.0     -0.1     -0.4    -10.8     -0.1  The children play in the green park.
en   en       -7.3     -0.0     -0.8     -0.0     -0.0    -10.4     -0.0    -30.3     -0.5     -0.0     -0.0     -0.2     -1.4     -0.0  The train arrives at the central station.
en   es       -7.7     -0.1     -2.2     -0.1     -0.1     -9.4     -0.3    -31.6     -2.1     -0.3     -0.3     -0.2     -4.2     -0.2  It rains in the city this morning.
en   en       -6.5     -0.0     -0.6     -0.0     -0.0    -10.1     -0.0    -35.9     -0.4     -0.0     -0.0     -0.1     -1.4     -0.0  The museum is close to the river.
en   en      -33.9     -0.5     -1.2     -0.0    -30.0    -28.3     -0.9    -45.9    -25.8     -0.0     -0.1     -3.7    -19.3     -6.5  She works at the local hospital.
